Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C16, C22, C23, C24, C26, C28, C29, C3, C30, C31, C32, C33",CP_Radial_D5.0mm_P2.50mm,14,C_Polarized,
"C10_2, C10",0805,2,22uF,
"C11, C12, C27",0805,3,100nF,
"C14, C2, C4",0805,3,C,
"C15, C5, C6, C7, C8",0805,5,1uF,
"C17, C18, C19, C20, C21, C25",0805,6,10uF,
C9,0805,1,4.7uF,
"D1, D13, D14",1206,3,LED,
"D10, D11, D16, D17, D18, D19, D20, D21, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,15,WS2812B,
D12,TO-252-2,1,D_Schottky_AKA,
D15,D_SMA,1,D_Schottky,
D2,D_SOD-123,1,1N4148W,
D22,D_DO-15_P3.81mm_Vertical_AnodeUp,1,D_Schottky,
"F1, F2, F3, F4, F5",ATO_fuse_holder,5,20A,
F6,ATO_fuse_holder,1,5A,
FB1,L_Walsin_WLFM201609x,1,FerriteBead 47 Ohm,
GND_CONN1,small_busbar-15mm,1,~,
J1,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,leds_ch1,
"J10, J9",TerminalBlock_Xinya_XY308-2.54-5P_1x05_P2.54mm_Horizontal,2,water_sensor_conn,
J11,water_sensor_rods,1,~,
"J12, J23, J24, J4, J8",keystone_m3_screw_terminal_vertical,5,Conn_01x01,
"J13, J21, J22",TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,3,Conn_01x02,
"J14, J25, J29, J30, J31",keystone_m3_screw_terminal_vertical,5,Conn_GND,
J15,keystone_m3_screw_terminal_vertical,1,Battery_Conn,
J16,USB_C_Receptacle_JAE_DX07S016JA1R1500,1,USB_C_Receptacle_USB2.0_16P,
"J17, J18",TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,2,Conn_01x03,
J2,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,CAN,
J20,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,leds_ch2,
J26,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,leds_ch3,
J27,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,leds_ch4,
"J28, J3",TerminalBlock_Xinya_XY308-2.54-8P_1x08_P2.54mm_Horizontal,2,Conn_01x08,
J5,5p_terminal_DB12,1,DB12,
J6,keystone_m3_screw_terminal_vertical,1,Inverter_Conn,
J7,Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm,1,grey_water_conn,
Q1,SOT-323_SC-70,1,Q_NMOS_DGS,
"Q2, Q3",SOT-323_SC-70,2,Q_PMOS_DGS,
Q4,TO-252-2,1,Q_NMOS_GDS,C19100585
"R1, R27, R32, R37, R38, R39",0805,6,10k,
"R10, R11, R12, R13, R7, R9",0805,6,10 ohm,
"R14, R15, R21, R_DEN1, R_DEN2, R_DEN3, R_DEN4, R_DEN5, R_IN1, R_IN2, R_IN3, R_IN4, R_IN5",0805,13,4.7k,
"R16, R26",0805,2,100k,
R17,0805,1,120,
"R18, R19, R20, R3, R33, R34, R35, R4",0805,8,4k7,
"R2, R36",0805,2,100R,
R22,0805,1,50 Ohm,
"R23, R24",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100k,
R25,0805,1,4.7kΩ,
"R28, R29, R30, R31",0805,4,1M,
"R5, R8",MSRSF_shunt_resistor,2,0.001 Ohm 10W,
R6,MSRSF_shunt_resistor,1,0.003 Ohm 10W,
RL1,PRE29-same-sky,1,AZSR131-1AE-12D,
"SW1, SW2, SW3, SW4, SW5",button_12mm,5,SW_Push,
SW6,PinHeader_1x02_P1.00mm_Vertical,1,SW_DIP_x01,
SW7,SW_PUSH_6mm_H4.3mm,1,RST_BTN,
SW8,SW_PUSH_6mm_H4.3mm,1,FLASH_BTN,
U1,SOT-223-3_TabPin2,1,TLV1117-33,C37359
"U10, U7, U8, U9",Infineon_PG-TSDSO-14-22,4,BTS7006,
U11,Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,INA3221,
U12,2_water_sensor_rods,1,~,
U13,SOT-23-6,1,CNY17-1,
"U14, U5",SOIC-14_3.9x8.7mm_P1.27mm,2,LM339_4ch,C7948
U15,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9555PWR,C465732
"U16, U4",generic_dcdc,2,~,
U17,DIP-6_W7.62mm,1,H11AA1,
U18,mini360,1,~,
U19,ESP32-S3-MINI-1U,1,ESP32-S3-MINI-1,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
U6,Infineon_PG-TSDSO-14-22,1,BTS7006,
